movie_name,description,genre
Jujutsu Kaisen 0,uta okkotsu nervou high school student suffer seriou problem—hi childhood friend rica turn curs wont leav alon sinc rica ordinari curs plight notic stori goo teacher jujutsu high school fledgl exercis learn combat curs goo convinc uta enrol learn enough time confront curs haunt,"Animation, Action, Fantasy"
Better Days,bulli teenag girl form unlik friendship mysteri young man protect assail come pressur final examin,"Drama, Crime, Romance"
The Shop Around the Corner,two employe gift shop bare stand one anoth without realis fall love post other anonym pen pal,"Comedy, Drama, Romance"
Red Beard,aspir easi job person physician wealthi famili nobodi yasumoto disappoint first post medic school take small countri clinic stuff doctor red beard yasumoto rebel numer way red beard prof wise patient teacher gradual introduc student glamor side profess ultim assign care prostitut rescu local brothel,Drama
Green Snake,tri free sister bahai clutch xico king wind dystopian citi meet mysteri man cant recal past life,"Animation, Fantasy, Action, Adventure"
Reservoir Dogs,botch robberi indic polic inform pressur mount aftermath warehous crime get violenc survivor veteran mr white newcom mr orang psychopath parol mr blond bicker weasel mr pink nice guy eddi unravel,"Crime, Thriller"
Portrait of a Lady on Fire,isol island brittani end eighteenth centuri femal painter oblig paint wed portrait young woman,"Drama, Romance, History"
Wonder,stori august pullman – boy facial differ – enter fifth grade attend mainstream elementari school first time,"Family, Drama"
Zack Snyder's Justice League,determin ensur superman ultim sacrific vain bruce wayn align forc diana princ plan recruit team metahuman protect world approach threat catastroph proport,"Action, Adventure, Fantasy"
"“The Shorts” by Aldo, Giovanni and Giacomo",sort short also giovanni giacomo first stage show comedi trio particip marina massironi record live teatro nuovo ferrari 28 29 march 1996 produc aid theatr direct arteri brachetti,Comedy
Call Me by Your Name,summer 1983 17yearli lio spend day famili villa itali one day oliv graduat student arriv assist elia father professor grecoroman cultur soon lio oliv discov summer alter life forev,"Romance, Drama"
Stalker,near gray unnam citi zone place guard barb wire soldier normal law physic victim frequent anomali stalker guid two men zone specif area deepseat desir grant,"Science Fiction, Drama"
The Father,man refus assist daughter age tri make sens chang circumst begin doubt love one mind even fabric realiti,Drama
"Lock, Stock and Two Smoking Barrels",card shark unwillinglyenlist friend need make lot cash quick lose sketchi poker match decid pull heist alltim gang happen oper flat next door,"Comedy, Crime"
Double Indemnity,seduct housewif draw insur salesman plot adulteri crime collect husband life insur,"Crime, Thriller"
Wild Strawberries,crotcheti retir doctor isa borg travel stockholm land sweden pregnant unhappi daughterinlaw marin order receiv honorari degre alma mater along way encount seri hitchhik caus elderli doctor muse upon pleasur failur life includ viciou young sara dead ringer doctor first love,Drama
Soul,joe gardner middl school teacher love jazz music success audit half note club suddenli get accid separ soul bodi transport seminar center soul develop gain passion transport newborn child joe must enlist help soulsintrain like 22 soul spent son seminar order get back earth,"Animation, Family, Comedy, Fantasy"
Scenes from a Marriage,john marin marri seem happi howev façad troubl relationship becom even rocker john admit he affair long spous separ move toward final divorc make attempt reconcil even pursu relationship john marin realiz signific bond also mani issu hinder connect,"Drama, Romance"
WALL·E,mankind leav earth somebodi forgot turn last robot hundr year built wall• discov new purpos life meet sleek search robot name eve eve come realiz wall• inadvert stumbl upon key planet futur race back space report human meanwhil wall• chase eve across galaxi set motion one imagin adventur ever brought big screen,"Animation, Family, Science Fiction"
In the Mood for Love,1962 hong kong neighbor su lichen mr chan chow moran mr chow discov spous affair spend time togeth develop feel relationship remain chase spoken reflect societ constraint moral compass,"Drama, Romance"
"Paris, Texas",man wander desert know brother find help pull memori back life led walk famili disappear four year earlier,Drama
Metropolis,futurist citi sharpli divid rich poor son citi mastermind meet prophet predict come savior mediat differ,"Drama, Science Fiction"
Prisoners,killer dover face everi parent ’ worst nightmar sixyearold daughter anna miss togeth young friend joy minut turn hour panic set lead dilapid rv earlier park street,"Drama, Thriller, Crime"
Big Deal on Madonna Street,best friend pepper mario thief theyr good still pepper think he final devis master heist make rich help fellow crimin plan dig tunnel rent apart pawnshop next door rob safe plan far foolproof fact one group experi dig tunnel prof least problem,"Comedy, Crime"
New Gods: Nezha Reborn,live ordinari deliveryman motor race fan nez encount old nemesi must rediscoveri power protect love one,"Animation, Fantasy, Action"
The Hunt,teacher life lone life struggl son ’ custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie,Drama
Sansho the Bailiff,mediev japan woman child journey find famili patriarch exil year earlier,Drama
Mortal Kombat Legends: Scorpion's Revenge,viciou slaughter famili stonecold mercenari subvert hand asahi exil tortur netherrealm exchang servitud sinist quan chi ’ given chanc aveng famili – resurrect scorpion lost soul bent reveng back earthrealm lord maiden gather team elit warrior – shaolin monk liu kang special forc offic soni blade action star johnni cage – unlik band hero one chanc save human must defeat sang sung ’ hord outward gladiat reign mortal kombat tournament,"Animation, Action, Fantasy"
The Great War,itali 1916 creat jacovacci giovanni busca call italian youth serv armi wwi tri everi way avoid serv armi,"Comedy, War, Drama"
Yojimbo,nameless robin samurai master enter small villag feudal japan two rival businessmen struggl control local gambl trade take name sanjuro kuwabatak robin convinc silk merchant tazaemon sake merchant pokemon hire person bodyguard care set motion fullscal gang war two ambiti unscrupul men,"Drama, Thriller"
