movie_name,description,genre
A Silent Voice: The Movie,sida start bulli new girl class nishimiya deaf teas continu rest class start turn lack compass leav elementari school speak older wiser torment past behaviour decid must see want alon sin alreadi late,"Animation, Drama, Romance"
Lucy Shimmers and the Prince of Peace,second chanc start harden crimin cross path precoci littl girl help angel chang heart holiday season,"Drama, Family"
The Pianist,true stori pianist władysław szpilman experi warsaw nazi occup jew citi find forc ghetto szpilman find work play café famili deport 1942 stay behind work labor eventu go hide ruin cartoon citi,"Drama, War"
Whiplash,direct ruthless instructor talent young drummer begin pursu perfect cost even human,"Drama, Music"
Gabriel's Inferno: Part II,professor gabriel emerson final learn truth julia mitchel ident realiz come moment late julia done wait wellrespect date specialist rememb want noth gabriel win back heart find love anoth arm,"Romance, Drama"
Se7en,two homicid detect desper hunt serial killer whose crime base seven deadli sin dark haunt film take viewer tortur remain one victim next season det somerset research sin effort get insid killer mind novic partner mill score effort unravel case,"Crime, Mystery, Thriller"
Gabriel's Inferno: Part III,final part film adapt erot romanc novel gabriel inferno written anonym canadian author pen name slain regard,"Romance, Drama"
Inception,cbb skill thief commit corpor espionag infiltr subconsci target offer chanc regain old life payment task consid imposs incept implant anoth person idea target subconsci,"Action, Science Fiction, Adventure"
Radical,mexican border town plagu neglect corrupt violenc frustrat teacher tri unorthodox new method break student ’ apathi unlock curios potenti perhap even geniu,Drama
High and Low,midst attempt take compani powerhous execut hit huge ransom demand chauffeur son kidnap mistak,"Drama, Crime, Thriller"
Rear Window,wheelchairbound photograph spi neighbor apart window becom convinc one commit murder,"Thriller, Mystery"
The Silence of the Lambs,clarifi starl top student bi train academi jack crawford want clarifi interview dr cannib letter brilliant psychiatrist also violent psychopath serv life behind bar variou act murder cannib crawford belief letter may insight case starl attract young woman may bait draw,"Crime, Thriller, Drama"
Spider-Man: Across the Spider-Verse,reunit gwen stay brooklyn ’ fulltim friendli neighborhood sideman catapult across multivers encount spider societi team spiderpeopl charg protect multivers ’ exist hero clash handl new threat mile find pit spider must set save love,"Animation, Action, Adventure, Science Fiction"
The Legend of Hei,cat spirit lu xiaohei home forest human must find new one run group spirit creatur take wing dream conquer land say right howev run human known julian separ lu xiaohei spirit two go journey cat spirit learn control abil well form thought whether alli spirit human,"Animation, Fantasy, Action"
